stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code
353_01,,六日町入口,,40.594836,141.266855,353_01,,0,
353_02,,六日町入口,,40.594755,141.266887,353_02,,0,
354_01,,六日町,,40.596022,141.271254,354_01,,0,
354_02,,六日町,,40.595912,141.27135,354_02,,0,
355_01,,喜多美町,,40.598919,141.270841,355_01,,0,
355_02,,喜多美町,,40.598894,141.270991,355_02,,0,
356_01,,中村,,40.830998,141.283039,356_01,,0,
356_02,,中村,,40.831049,141.282953,356_02,,0,
357_01,,水喰,,40.83028,141.272734,357_01,,0,
357_02,,水喰,,40.83026,141.272675,357_02,,0,
358_01,,南水喰,,40.826754,141.272246,358_01,,0,
358_02,,南水喰,,40.82656,141.272026,358_02,,0,
359_01,,南野田頭,,40.820168,141.271452,359_01,,0,
359_02,,南野田頭,,40.820191,141.271329,359_02,,0,
36_01,,下田公園入口,,40.604543,141.399187,36_01,,0,
36_02,,下田公園入口,,40.604404,141.39908,36_02,,0,
360_01,,豊栄,,40.809556,141.27381,360_01,,0,
360_02,,豊栄,,40.810693,141.273716,360_02,,0,
361_01,,滝沢,,40.802578,141.277487,361_01,,0,
361_02,,滝沢,,40.802564,141.277374,361_02,,0,
362_01,,巴蘭,,40.796959,141.277696,362_01,,0,
362_02,,巴蘭,,40.796962,141.277589,362_02,,0,
363_01,,南巴蘭,,40.788145,141.276951,363_01,,0,
363_02,,南巴蘭,,40.788164,141.276833,363_02,,0,
364_01,,漆玉入口,,40.782798,141.2779,364_01,,0,
364_02,,漆玉入口,,40.782778,141.277728,364_02,,0,
365_01,,北甲地,,40.779612,141.278598,365_01,,0,
365_02,,北甲地,,40.779625,141.278415,365_02,,0,
366_01,,甲地,,40.774929,141.278088,366_01,,0,
366_02,,甲地,,40.775161,141.278104,366_02,,0,
366_03,,甲地,,40.775859,141.277509,366_03,,0,
366_04,,甲地,,40.77577,141.277482,366_04,,0,
367_01,,南甲地,,40.771376,141.274655,367_01,,0,
367_02,,南甲地,,40.77139,141.274542,367_02,,0,
368_01,,長久保入口,,40.765425,141.268824,368_01,,0,
368_02,,長久保入口,,40.765449,141.268711,368_02,,0,
369_01,,鳥口橋,,40.759233,141.260965,369_01,,0,
369_02,,鳥口橋,,40.759246,141.260801,369_02,,0,
37_01,,東下田,,40.602456,141.409819,37_01,,0,
37_02,,東下田,,40.602423,141.409283,37_02,,0,
370_01,,甲地入口,,40.741109,141.257998,370_01,,0,
370_02,,甲地入口,,40.741829,141.257612,370_02,,0,
371_01,,花向橋,,40.737548,141.262933,371_01,,0,
371_02,,花向橋,,40.737434,141.26289,371_02,,0,
372_01,,上北町駅南口,,40.731301,141.266131,372_01,,0,
372_02,,上北町駅南口,,40.73135,141.266056,372_02,,0,
